Player ID,Round,Overall Pick,Games,Minutes Played,Points,Total Rebounds,Assists ,Field Goal Percentage,3-Point Percentage,Free Throw Percentage,Minutes Per Game,Points Per Game,Total Rebounds Per Game,Assists Per Game
,,,,,,,,,,,,,,
1,1,19,66,1543,689,473,73,0.584,0.321,0.752,23.4,10.4,7.2,1.1
2,2,41,48,765,291,107,66,0.353,0.344,0.682,15.9,6.1,2.2,1.4
3,1,21,59,735,204,115,59,0.437,0.214,0.512,12.5,3.5,1.9,1
4,2,54,57,523,221,56,78,0.363,0.268,0.754,9.2,3.9,1,1.4
5,1,15,214,4260,1601,721,142,0.42,0.331,0.782,19.9,7.5,3.4,0.7
6,1,15,107,1403,429,315,66,0.406,0.254,0.68,13.1,4,2.9,0.6
7,2,43,13,101,33,32,4,0.625,,0.273,7.8,2.5,2.5,0.3
8,1,17,352,8341,4545,884,1675,0.434,0.32,0.827,23.7,12.9,2.5,4.8
9,1,18,251,4757,1369,465,711,0.425,0.339,0.782,19,5.5,1.9,2.8
10,2,47,160,2323,755,197,280,0.439,0.389,0.768,14.5,4.7,1.2,1.8
11,2,50,213,4381,1376,695,200,0.454,0.362,0.81,20.6,6.5,3.3,0.9
12,1,23,145,1850,734,213,116,0.448,0.364,0.849,12.8,5.1,1.5,0.8
13,2,43,348,5533,2557,1043,321,0.476,0.351,0.767,15.9,7.3,3,0.9
14,2,48,3,9,0,3,0,0,,,3,0,1,0
15,1,24,39,623,150,131,26,0.415,0,0.667,16,3.8,3.4,0.7
16,2,53,3,21,7,3,2,0.333,0,1,7,2.3,1,0.7
17,1,19,664,18292,8433,1637,3763,0.447,0.357,0.844,27.5,12.7,2.5,5.7
18,1,3,713,23655,10096,6104,2253,0.525,0.371,0.748,33.2,14.2,8.6,3.2
19,1,11,188,2385,725,195,309,0.413,0.235,0.778,12.7,3.9,1,1.6
20,1,5,361,5586,1618,1562,163,0.462,0.222,0.74,15.5,4.5,4.3,0.5
21,2,33,281,3092,839,654,99,0.467,0.111,0.717,11,3,2.3,0.4
22,1,2,932,26720,9778,4925,1204,0.444,0.358,0.807,28.7,10.5,5.3,1.3
23,2,31,157,2672,1260,214,164,0.407,0.366,0.882,17,8,1.4,1
24,1,6,391,10432,3548,1850,609,0.522,0.329,0.779,26.7,9.1,4.7,1.6
25,1,17,894,29000,12996,6653,2789,0.452,0.285,0.632,32.4,14.5,7.4,3.1
26,2,34,61,560,165,66,48,0.421,0.308,0.65,9.2,2.7,1.1,0.8
27,2,37,492,6162,1641,557,501,0.406,0.361,0.706,12.5,3.3,1.1,1
28,1,21,1064,28768,9139,4634,3684,0.493,0.336,0.717,27,8.6,4.4,3.5
29,2,37,41,507,123,70,19,0.354,0.3,0.815,12.4,3,1.7,0.5
30,2,37,103,1264,501,292,57,0.44,0.347,0.674,12.3,4.9,2.8,0.6
31,1,3,1188,40488,20724,11110,3854,0.508,0.369,0.754,34.1,17.4,9.4,3.2
32,2,34,139,1934,472,377,93,0.407,0.196,0.711,13.9,3.4,2.7,0.7
33,1,6,344,5930,2121,769,304,0.411,0.336,0.789,17.2,6.2,2.2,0.9
34,2,40,155,2360,715,442,75,0.442,0.063,0.783,15.2,4.6,2.9,0.5
35,,,,,,,,,,,,,,
36,1,3,74,2256,1013,381,112,0.478,0.426,0.822,30.5,13.7,5.1,1.5
37,2,37,65,962,150,129,17,0.303,0.3,0.605,14.8,2.3,2,0.3
38,2,53,11,32,5,4,2,0.167,0,0.75,2.9,0.5,0.4,0.2
39,2,56,7,35,5,4,1,0.25,0,0.6,5,0.7,0.6,0.1
40,1,3,141,3278,1403,545,167,0.457,0.363,0.658,23.2,10,3.9,1.2
