Player ID,Overall Pick,Games,Minutes Played,Free Throw Percentage,Minutes Per Game,Points Per Game,Total Rebounds Per Game
1,19,66,1543,0.752,23.4,10.4,7.2
2,41,48,765,0.682,15.9,6.1,2.2
3,21,59,735,0.512,12.5,3.5,1.9
4,54,57,523,0.754,9.2,3.9,1
5,15,214,4260,0.782,19.9,7.5,3.4
6,15,107,1403,0.68,13.1,4,2.9
7,43,13,101,0.273,7.8,2.5,2.5
8,17,352,8341,0.827,23.7,12.9,2.5
9,18,251,4757,0.782,19,5.5,1.9
10,47,160,2323,0.768,14.5,4.7,1.2
11,50,213,4381,0.81,20.6,6.5,3.3
12,23,145,1850,0.849,12.8,5.1,1.5
13,43,348,5533,0.767,15.9,7.3,3
15,24,39,623,0.667,16,3.8,3.4
16,53,3,21,1,7,2.3,1
17,19,664,18292,0.844,27.5,12.7,2.5
18,3,713,23655,0.748,33.2,14.2,8.6
19,11,188,2385,0.778,12.7,3.9,1
20,5,361,5586,0.74,15.5,4.5,4.3
21,33,281,3092,0.717,11,3,2.3
22,2,932,26720,0.807,28.7,10.5,5.3
23,31,157,2672,0.882,17,8,1.4
24,6,391,10432,0.779,26.7,9.1,4.7
25,17,894,29000,0.632,32.4,14.5,7.4
26,34,61,560,0.65,9.2,2.7,1.1
27,37,492,6162,0.706,12.5,3.3,1.1
28,21,1064,28768,0.717,27,8.6,4.4
29,37,41,507,0.815,12.4,3,1.7
30,37,103,1264,0.674,12.3,4.9,2.8
31,3,1188,40488,0.754,34.1,17.4,9.4
32,34,139,1934,0.711,13.9,3.4,2.7
33,6,344,5930,0.789,17.2,6.2,2.2
34,40,155,2360,0.783,15.2,4.6,2.9
36,3,74,2256,0.822,30.5,13.7,5.1
37,37,65,962,0.605,14.8,2.3,2
38,53,11,32,0.75,2.9,0.5,0.4
39,56,7,35,0.6,5,0.7,0.6
40,3,141,3278,0.658,23.2,10,3.9
41,16,28,160,0.615,5.7,1.8,1.4
42,23,26,180,0.75,6.9,3.7,2
43,31,90,1006,0.667,11.2,4,2.9
44,45,19,95,0.5,5,1.4,0.8
45,51,3,10,,3.3,0,0.7
46,58,40,424,0.606,10.6,3.1,1.4
47,16,187,3459,0.772,18.5,7.1,3.4
48,28,42,329,0.857,7.8,2.3,0.9
49,33,62,452,0.6,7.3,2.2,2
50,6,261,7488,0.756,28.7,9.4,3.7
51,17,95,812,0.563,8.5,2.3,1
52,16,136,1713,0.64,12.6,3.2,2.8
53,21,269,6532,0.723,24.3,10.8,7.5
54,22,6,36,0.25,6,1.2,0.5
55,51,10,54,0.625,5.4,0.9,0.7
56,25,164,2876,0.748,17.5,7.7,2.2
57,55,454,9453,0.735,20.8,7.5,2
58,19,459,13052,0.772,28.4,12.3,3
59,52,70,871,0.737,12.4,3.6,2.8
60,58,57,594,0.806,10.4,4.7,1.4
61,30,38,247,0.565,6.5,1.9,1.4
62,60,69,928,0.594,13.4,3.8,2.8
63,5,774,23479,0.797,30.3,13.3,4.6
64,32,62,461,0.783,7.4,2,0.8
65,7,752,19279,0.852,25.6,10.3,2.2
66,18,577,11338,0.813,19.6,9.7,2.5
67,50,487,13463,0.799,27.6,10.1,4.6
68,53,131,1555,0.642,11.9,2.5,1.5
69,15,913,26277,0.71,28.8,15.7,8.4
70,24,432,11842,0.826,27.4,9.7,2.9
71,25,820,18055,0.709,22,8.1,3.5
72,40,136,1436,0.752,10.6,3.5,1.4
73,16,6,34,1,5.7,1.8,0.7
74,20,624,9799,0.751,15.7,5.4,1.7
75,56,67,630,0.488,9.4,3.3,2.8
76,50,495,9229,0.844,18.6,6.9,3.4
77,10,1268,44078,0.802,34.8,16.1,4
78,11,143,1935,0.64,13.5,3.6,2.4
79,21,25,125,0.8,5,1.2,0.7
80,11,145,1392,0.593,9.6,2.7,2.7
82,22,64,1244,0.797,19.4,8,5.3
83,27,71,2184,0.719,30.8,15.9,6.3
84,55,2,15,1,7.5,4.5,1.5
85,29,59,532,0.548,9,3.3,1.9
86,41,146,1788,0.842,12.2,3.7,1.5
87,22,381,8584,0.564,22.5,8.7,6.4
