Player ID,Round,Games,Total Rebounds,Free Throw Percentage,Points Per Game,Total Rebounds Per Game
1,1,66,473,0.752,10.4,7.2
2,2,48,107,0.682,6.1,2.2
3,1,59,115,0.512,3.5,1.9
4,2,57,56,0.754,3.9,1
5,1,214,721,0.782,7.5,3.4
6,1,107,315,0.68,4,2.9
7,2,13,32,0.273,2.5,2.5
8,1,352,884,0.827,12.9,2.5
9,1,251,465,0.782,5.5,1.9
10,2,160,197,0.768,4.7,1.2
11,2,213,695,0.81,6.5,3.3
12,1,145,213,0.849,5.1,1.5
13,2,348,1043,0.767,7.3,3
15,1,39,131,0.667,3.8,3.4
16,2,3,3,1,2.3,1
17,1,664,1637,0.844,12.7,2.5
18,1,713,6104,0.748,14.2,8.6
19,1,188,195,0.778,3.9,1
20,1,361,1562,0.74,4.5,4.3
21,2,281,654,0.717,3,2.3
22,1,932,4925,0.807,10.5,5.3
23,2,157,214,0.882,8,1.4
24,1,391,1850,0.779,9.1,4.7
25,1,894,6653,0.632,14.5,7.4
26,2,61,66,0.65,2.7,1.1
27,2,492,557,0.706,3.3,1.1
28,1,1064,4634,0.717,8.6,4.4
29,2,41,70,0.815,3,1.7
30,2,103,292,0.674,4.9,2.8
31,1,1188,11110,0.754,17.4,9.4
32,2,139,377,0.711,3.4,2.7
33,1,344,769,0.789,6.2,2.2
34,2,155,442,0.783,4.6,2.9
36,1,74,381,0.822,13.7,5.1
37,2,65,129,0.605,2.3,2
38,2,11,4,0.75,0.5,0.4
39,2,7,4,0.6,0.7,0.6
40,1,141,545,0.658,10,3.9
41,1,28,39,0.615,1.8,1.4
42,1,26,53,0.75,3.7,2
43,2,90,263,0.667,4,2.9
44,2,19,16,0.5,1.4,0.8
46,2,40,57,0.606,3.1,1.4
47,1,187,629,0.772,7.1,3.4
48,1,42,39,0.857,2.3,0.9
49,2,62,122,0.6,2.2,2
50,1,261,971,0.756,9.4,3.7
51,1,95,96,0.563,2.3,1
52,1,136,383,0.64,3.2,2.8
53,1,269,2006,0.723,10.8,7.5
54,1,6,3,0.25,1.2,0.5
55,2,10,7,0.625,0.9,0.7
56,1,164,358,0.748,7.7,2.2
57,2,454,887,0.735,7.5,2
58,1,459,1380,0.772,12.3,3
59,2,70,196,0.737,3.6,2.8
60,2,57,77,0.806,4.7,1.4
61,1,38,54,0.565,1.9,1.4
62,2,69,190,0.594,3.8,2.8
63,1,774,3546,0.797,13.3,4.6
64,2,62,51,0.783,2,0.8
65,1,752,1686,0.852,10.3,2.2
66,1,577,1424,0.813,9.7,2.5
67,2,487,2239,0.799,10.1,4.6
68,2,131,195,0.642,2.5,1.5
69,1,913,7681,0.71,15.7,8.4
70,1,432,1265,0.826,9.7,2.9
71,1,820,2884,0.709,8.1,3.5
72,2,136,186,0.752,3.5,1.4
73,1,6,4,1,1.8,0.7
74,1,624,1082,0.751,5.4,1.7
75,2,67,187,0.488,3.3,2.8
76,2,495,1689,0.844,6.9,3.4
77,1,1268,5035,0.802,16.1,4
78,1,143,347,0.64,3.6,2.4
79,1,25,17,0.8,1.2,0.7
80,1,145,395,0.593,2.7,2.7
82,1,64,342,0.797,8,5.3
83,1,71,448,0.719,15.9,6.3
84,2,2,3,1,4.5,1.5
85,1,59,112,0.548,3.3,1.9
86,2,146,224,0.842,3.7,1.5
87,1,381,2423,0.564,8.7,6.4
88,1,36,58,0.667,3.2,1.6
89,2,43,156,0.652,4.6,3.6
90,1,548,3934,0.664,11.5,7.2
91,1,278,702,0.825,12.3,2.5
92,2,12,15,1,2,1.3
93,1,153,545,0.659,7.1,3.6
